comuna,r_partial,r_full,index
Cerrillos,0.10272219330584492,0.0987373839822215,1
Las Condes,0.1870077883389848,0.12321178079498447,13
Providencia,0.2577727630921542,0.19707508650037248,22
Santiago,0.2677411460175226,0.17163265306122452,0
Peñalolén,0.4158726320857503,0.28361027645658937,21
Estación Central,0.43388031519352205,0.3830757079022427,5
Vitacura,0.43840482843940937,0.2915220137798548,31
Maipú,0.5049115410420462,0.3662622538218004,18
San Miguel,0.5270695759147523,0.4005889485095132,29
La Florida,0.5500706682613445,0.4135267321595979,9
Lo Barnechea,0.5884235116221642,0.4402193380646848,14
Ñuñoa,0.6104990809292723,0.4741606009282346,19
Puente Alto,0.6146545321390948,0.5456424020951571,32
Huechuraba,0.6162669432357629,0.4270300371985419,6
San Bernardo,0.6482920613397678,0.5018683571563879,35
Recoleta,0.6569406207632421,0.6072043747160185,26
Lo Espejo,0.6600130903757149,0.5693445166900302,15
Pudahuel,0.6618147393884465,0.5801361111111112,23
Renca,0.6621610112007645,0.5418468765047514,27
Pedro Aguirre Cerda,0.6785281363294519,0.4828596663530669,20
Conchalí,0.6797818806889793,0.5620681241939909,3
El Bosque,0.6937278526661087,0.6481534987381,4
Macul,0.7112891011991749,0.5507761490581018,17
Quilicura,0.7161801577225958,0.4940079276631727,24
La Reina,0.7214346855548239,0.5237494630312043,12
La Cisterna,0.7590350663198461,0.6501926455779474,8
Independencia,0.7702609039424737,0.6882767479869161,7
Cerro Navia,0.7705129016518462,0.7303021529403582,2
Quinta Normal,0.7872344785045918,0.631309730988706,25
San Joaquín,0.7933832742067679,0.7440684945288535,28
La Granja,0.8189534658147752,0.6236908454105627,10
Pirque,0.8266000424719411,0.7422779262988413,33
Padre Hurtado,0.8519339146936092,0.7294496364985964,36
La Pintana,0.8561568050021815,0.6860882274798701,11
San José de Maipo,0.8572601793549781,0.8001623779217484,34
San Ramón,0.8769481683880893,0.8440583873633112,30
Lo Prado,0.8864463354073793,0.7216584973676492,16
